Directory,Filename,Width,Height
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01768_B.png,01768_B.png,226,574
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01768_T.png,01768_T.png,223,572
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01767_T.png,01767_T.png,232,595
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01769_T.png,01769_T.png,215,538
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01770_T.png,01770_T.png,190,452
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01769_B.png,01769_B.png,223,531
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01770_B.png,01770_B.png,195,444
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01771_B.png,01771_B.png,259,540
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01772_B.png,01772_B.png,259,602
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01772_T.png,01772_T.png,263,610
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01774_T.png,01774_T.png,255,529
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01774_B.png,01774_B.png,259,525
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01775_T.png,01775_T.png,259,612
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01773_B.png,01773_B.png,240,579
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01775_B.png,01775_B.png,257,603
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01773_T.png,01773_T.png,227,588
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01776_T.png,01776_T.png,241,565
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01776_B.png,01776_B.png,240,559
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01777_T.png,01777_T.png,234,550
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01778_B.png,01778_B.png,239,515
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01777_B.png,01777_B.png,233,548
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01779_B.png,01779_B.png,271,578
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01779_T.png,01779_T.png,254,581
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01780_B.png,01780_B.png,234,574
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01781_T.png,01781_T.png,254,551
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01780_T.png,01780_T.png,224,557
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01782_B.png,01782_B.png,209,477
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01781_B.png,01781_B.png,253,548
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01783_B.png,01783_B.png,240,586
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01784_B.png,01784_B.png,241,545
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01782_T.png,01782_T.png,208,477
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01783_T.png,01783_T.png,238,590
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01784_T.png,01784_T.png,241,551
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01786_B.png,01786_B.png,235,531
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01785_B.png,01785_B.png,240,561
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01786_T.png,01786_T.png,235,536
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01787_B.png,01787_B.png,234,511
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01788_T.png,01788_T.png,262,596
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01787_T.png,01787_T.png,237,513
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01788_B.png,01788_B.png,260,601
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01789_T.png,01789_T.png,235,505
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01790_B.png,01790_B.png,265,569
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01791_B.png,01791_B.png,245,509
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01789_B.png,01789_B.png,234,503
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01790_T.png,01790_T.png,265,563
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01666_T.png,01666_T.png,211,543
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01791_T.png,01791_T.png,247,516
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01687_T.png,01687_T.png,199,551
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01715_T.png,01715_T.png,245,536
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01792_B.png,01792_B.png,277,559
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01673_T.png,01673_T.png,269,519
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01680_T.png,01680_T.png,271,595
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01722_T.png,01722_T.png,239,559
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01708_T.png,01708_T.png,236,535
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01736_T.png,01736_T.png,249,574
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01694_T.png,01694_T.png,228,520
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01729_T.png,01729_T.png,252,564
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01757_T.png,01757_T.png,234,546
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01743_T.png,01743_T.png,225,564
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01771_T.png,01771_T.png,263,545
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01701_T.png,01701_T.png,230,516
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01778_T.png,01778_T.png,244,522
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01750_T.png,01750_T.png,231,456
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01785_T.png,01785_T.png,245,563
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01764_T.png,01764_T.png,249,563
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01799_B.png,01799_B.png,245,535
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01825_T.png,01825_T.png,254,506
